name,category,feeds,homepage,tier,enabled,notes
中国新闻网,官方媒体,https://www.chinanews.com.cn/rss/china.xml;https://www.chinanews.com.cn/rss/finance.xml;https://www.chinanews.com.cn/rss/world.xml,https://www.chinanews.com.cn,direct,1,国内/财经/国际 官方RSS 实测实时更新
界面新闻,市场化财经,https://a.jiemian.com/index.php?m=article&a=rss,https://www.jiemian.com,direct,1,市场化财经 官方RSS 实测实时更新
CGTN,官方英文媒体,https://www.cgtn.com/subscribe/rss/section/china.xml;https://www.cgtn.com/subscribe/rss/section/world.xml;https://www.cgtn.com/subscribe/rss/section/business.xml,https://www.cgtn.com,direct,1,央视英文台 中国/世界/财经 实测更新
人民网,官方媒体,https://news.google.com/rss/search?q=site%3Apeople.com.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E8%83%BD%E6%BA%90%20OR%20%E7%BB%8F%E6%B5%8E%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,http://www.people.com.cn,gn,1,官方RSS已停更 改GN站内检索
新华网,通讯社,https://news.google.com/rss/search?q=site%3Anews.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E8%83%BD%E6%BA%90%20OR%20%E7%BB%8F%E6%B5%8E%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,http://www.news.cn,gn,1,官方RSS已停更 改GN站内检索
新浪财经,门户财经,https://news.google.com/rss/search?q=site%3Afinance.sina.com.cn%20%E5%8E%9F%E6%B2%B9%20OR%20%E7%9F%B3%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20OR%20%E5%A4%A7%E5%AE%97%E5%95%86%E5%93%81%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://finance.sina.com.cn,gn,1,官方RSS已停更 改GN站内检索
华尔街见闻,市场化财经,https://news.google.com/rss/search?q=site%3Awallstreetcn.com%20%E5%8E%9F%E6%B2%B9%20OR%20%E7%9F%B3%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20OR%20%E6%AC%A7%E4%BD%A9%E5%85%8B%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://wallstreetcn.com,gn,1,无稳定官方RSS GN备份
第一财经,市场化财经,https://news.google.com/rss/search?q=site%3Ayicai.com%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20OR%20%E6%AC%A7%E4%BD%A9%E5%85%8B%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.yicai.com,gn,1,GN备份
财新网,市场化财经,https://news.google.com/rss/search?q=site%3Acaixin.com%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20OR%20%E8%83%BD%E6%BA%90%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.caixin.com,gn,1,GN备份
澎湃新闻,市场化媒体,https://news.google.com/rss/search?q=site%3Athepaper.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E6%B2%B9%E4%BB%B7%20OR%20%E4%B8%AD%E4%B8%9C%20OR%20%E5%88%B6%E8%A3%81%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.thepaper.cn,gn,1,GN备份
观察者网,市场化媒体,https://news.google.com/rss/search?q=site%3Aguancha.cn%20%E7%9F%B3%E6%B2%B9%20OR%20%E5%8E%9F%E6%B2%B9%20OR%20%E6%88%98%E4%BA%89%20OR%20%E5%88%B6%E8%A3%81%20OR%20%E4%B8%AD%E4%B8%9C%20OR%20%E4%BF%84%E7%BD%97%E6%96%AF%20when%3A3d&hl=zh-Hans&gl=CN&ceid=CN%3Azh-Hans,https://www.guancha.cn,gn,1,GN备份
